,userId,movieId,rating,timestamp,title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
24128970,156793,410,4.0,838132457,Addams Family Values (1993),0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21329647,138596,5952,4.5,1327249611,"Lord of the Rings: The Two Towers, The (2002)",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3867478,25474,40732,4.0,1477621920,"Descent, The (2005)",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
19408408,126001,4901,1.5,1092994816,Spy Game (2001),0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
10058521,65274,1945,4.0,939993994,On the Waterfront (1954),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18957646,122955,1321,5.0,962652459,"American Werewolf in London, An (1981)",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1301671,8775,2609,4.0,1062477525,"King of Masks, The (Bian Lian) (1996)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18935203,122803,25827,4.5,1115775477,Mr. Deeds Goes to Town (1936),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12979579,84055,111,3.5,1480692067,Taxi Driver (1976),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
4320196,28436,1275,5.0,949950833,Highlander (1986),0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22166520,144139,54503,4.0,1428777209,Superbad (2007),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14267407,92366,31364,3.5,1177168086,Memories of Murder (Salinui chueok) (2003),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
11746250,76183,719,3.0,1081266952,Multiplicity (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4128129,27171,2294,2.5,1491620261,Antz (1998),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15249032,98776,81229,4.5,1301608628,Red (2010),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18070081,117106,2549,1.5,1081202413,Wing Commander (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7327689,47496,737,1.0,879030776,Barb Wire (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23341824,151537,59615,3.0,1438718191,Indiana Jones and the Kingdom of the Crystal Skull (2008),0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18126363,117415,1304,5.0,1023505820,Butch Cassidy and the Sundance Kid (1969),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4732864,30915,2143,2.0,1010877461,Legend (1985),0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17596147,114062,260,4.0,1116711266,Star Wars: Episode IV - A New Hope (1977),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8500742,55386,965,5.0,1520983221,"39 Steps, The (1935)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
13408352,86723,4039,2.0,981660281,Annie (1982),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4582144,30017,3396,3.0,1233715258,"Muppet Movie, The (1979)",0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3034783,20040,921,4.0,958690751,My Favorite Year (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22515451,146376,122904,4.0,1477870288,Deadpool (2016),0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4515659,29664,2170,3.5,1393814163,Wrongfully Accused (1998),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18671603,120986,2986,1.5,1053236122,RoboCop 2 (1990),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
23370937,151734,112556,5.0,1545618074,Gone Girl (2014),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4468887,29347,9010,5.0,1234534447,Love Me If You Dare (Jeux d'enfants) (2003),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6604926,42785,4498,3.0,1107221443,"Dead Pool, The (1988)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14481673,93784,4270,2.0,1567435555,"Mummy Returns, The (2001)",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12825418,82983,1302,1.5,1107542732,Field of Dreams (1989),0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18387197,119067,1748,3.0,965949070,Dark City (1998),0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
17017969,110364,6539,4.0,1180280193,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9194375,59943,1704,4.5,1188334585,Good Will Hunting (1997),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
995838,6713,783,4.0,1134595151,"Hunchback of Notre Dame, The (1996)",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
5449542,35327,2006,3.5,1487163900,"Mask of Zorro, The (1998)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14552717,94219,1585,3.5,1528899960,Love Serenade (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17138306,111072,1625,4.0,979169409,"Game, The (1997)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
21326655,138575,81591,2.5,1338037341,Black Swan (2010),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5664631,36671,8861,2.0,1541821936,Resident Evil: Apocalypse (2004),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
217658,1535,111759,4.5,1485511197,Edge of Tomorrow (2014),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11842246,76766,109487,5.0,1483929398,Interstellar (2014),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2303430,15315,761,3.0,851343801,"Phantom, The (1996)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8805598,57432,1517,2.5,1459731352,Austin Powers: International Man of Mystery (1997),0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20768898,135038,44937,4.0,1234650082,"Child, The (L'enfant) (2005)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8811981,57477,2379,1.5,1378235711,Police Academy 2: Their First Assignment (1985),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9515940,61809,48780,3.5,1547989202,"Prestige, The (2006)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
18721737,121380,7013,4.5,1469943195,"Night of the Hunter, The (1955)",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
7681150,49853,3801,3.0,1337174886,Anatomy of a Murder (1959),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
796619,5376,3983,4.0,1017731983,You Can Count on Me (2000),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
219803,1553,1213,5.0,939980463,Goodfellas (1990),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7494527,48672,162,4.0,958272563,Crumb (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12763082,82541,8529,3.0,1221491013,"Terminal, The (2004)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17268329,111887,8636,3.5,1133439889,Spider-Man 2 (2004),0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19968609,129817,1961,4.0,1185772428,Rain Man (1988),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7420674,48133,5952,4.5,1568570612,"Lord of the Rings: The Two Towers, The (2002)",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21564633,140224,4864,2.0,1030662486,Titanica (1992),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
15060562,97576,122892,2.5,1470186165,Avengers: Age of Ultron (2015),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5950879,38562,3285,4.0,1437198105,"Beach, The (2000)",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21902649,142380,4995,4.0,1212108584,"Beautiful Mind, A (2001)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13044454,84467,5577,3.0,1144472426,Igby Goes Down (2002),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11654285,75558,47099,3.0,1180812975,"Pursuit of Happyness, The (2006)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10449985,67799,7004,2.5,1517170973,Kindergarten Cop (1990),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14707414,95169,1805,4.0,1000735035,Wild Things (1998),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
24265622,157719,152970,4.0,1485454950,Hunt for the Wilderpeople (2016),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21434511,139294,3083,5.0,960247308,All About My Mother (Todo sobre mi madre) (1999),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12484113,80809,1485,3.0,867828081,Liar Liar (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14739321,95416,3527,4.0,1458749787,Predator (1987),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9733537,63184,2004,3.0,974609179,Gremlins 2: The New Batch (1990),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16661772,108053,8644,4.5,1498783232,"I, Robot (2004)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
23504063,152597,783,3.5,1541111057,"Hunchback of Notre Dame, The (1996)",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
3453793,22771,3977,1.0,1416331693,Charlie's Angels (2000),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2334311,15553,64957,4.5,1233960965,"Curious Case of Benjamin Button, The (2008)",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
17320881,112225,597,3.0,967070274,Pretty Woman (1990),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15775172,102158,32,5.0,833384665,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2374710,15794,61240,5.0,1350303838,Let the Right One In (Låt den rätte komma in) (2008),0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
7798577,50659,3339,4.0,1105933699,Cross of Iron (1977),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3870035,25506,736,2.0,973568668,Twister (1996),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
22462138,146060,1270,3.0,1101596418,Back to the Future (1985),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22816066,148265,5445,3.5,1111475773,Minority Report (2002),0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
8990315,58555,3362,5.0,980613596,Dog Day Afternoon (1975),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3526280,23267,4886,3.5,1475088319,"Monsters, Inc. (2001)",0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20795144,135241,247,2.0,945737283,Heavenly Creatures (1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7048313,45693,1982,4.5,1065478640,Halloween (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2036395,13551,4306,5.0,1076092165,Shrek (2001),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5921390,38369,3252,4.5,1459089644,Scent of a Woman (1992),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24466038,158964,3826,2.0,1114690902,Hollow Man (2000),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
23210977,150690,527,4.5,1316634858,Schindler's List (1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1956094,13011,1213,3.5,1092114262,Goodfellas (1990),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2038292,13570,589,3.0,945896430,Terminator 2: Judgment Day (1991),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17061761,110622,89840,3.0,1347214339,Killer Elite (2011),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19175696,124443,344,2.0,1084779007,Ace Ventura: Pet Detective (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4101027,26985,350,3.0,840475600,"Client, The (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
721472,4909,3751,3.5,1129419719,Chicken Run (2000),0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15059069,97566,1213,5.0,1349992010,Goodfellas (1990),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24842354,161492,1625,3.5,1219547509,"Game, The (1997)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5228515,33952,356,4.0,846947982,Forrest Gump (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
6789850,43984,2012,2.5,1113858446,Back to the Future Part III (1990),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
19514088,126670,2407,3.0,938807192,Cocoon (1985),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20468908,133083,62,5.0,842974364,Mr. Holland's Opus (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15476419,100260,89774,3.5,1390977243,Warrior (2011),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16835634,109175,135133,3.0,1481392200,The Hunger Games: Mockingjay - Part 2 (2015),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14500444,93884,3334,4.0,1102457432,Key Largo (1948),0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
13744013,89054,4857,3.0,1190338085,Fiddler on the Roof (1971),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9075540,59122,38038,2.5,1540893488,Wallace & Gromit in The Curse of the Were-Rabbit (2005),0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13886858,90020,2236,4.0,1269719617,Simon Birch (1998),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17952492,116321,2637,3.0,934970104,"Mummy's Hand, The (1940)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15202362,98503,2762,3.5,1109369825,"Sixth Sense, The (1999)",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
21614884,140569,4963,4.0,1264982791,Ocean's Eleven (2001),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
997217,6729,2571,4.5,1447123514,"Matrix, The (1999)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3397792,22418,6218,2.5,1128797437,Bend It Like Beckham (2002),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18096774,117221,148626,4.5,1556078752,"Big Short, The (2015)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6485861,42043,6539,3.0,1185322150,Pirates of the Caribbean: The Curse of the Black Pearl (2003),0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24958263,162297,80219,3.5,1398113834,Machete (2010),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22521738,146419,1135,4.0,942333606,Private Benjamin (1980),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2522693,16807,1302,4.5,1094012717,Field of Dreams (1989),0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22569399,146675,5669,5.0,1113620973,Bowling for Columbine (2002),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15640335,101294,356,3.0,1274874297,Forrest Gump (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
9942987,64513,3039,4.0,1112630157,Trading Places (1983),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9055612,58990,3744,5.0,997219655,Shaft (2000),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14301944,92621,3082,3.5,1085375526,"World Is Not Enough, The (1999)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6803427,44069,2253,4.0,1049604557,Toys (1992),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9903165,64294,66665,3.0,1266767591,Away We Go (2009),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9709494,63019,145994,2.0,1485113132,Formula of Love (1984),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16211045,105107,253,5.0,978673609,Interview with the Vampire: The Vampire Chronicles (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
12588584,81403,73344,4.5,1265065422,"Prophet, A (Un Prophète) (2009)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
22176400,144228,4310,3.5,1485832841,Pearl Harbor (2001),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
21301695,138439,5481,0.5,1313952612,Austin Powers in Goldmember (2002),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11869808,76953,380,3.0,832035141,True Lies (1994),0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3706101,24522,6583,4.5,1111090711,"Blood of Heroes, The (Salute of the Jugger, The) (1989)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5584957,36166,367,5.0,839079659,"Mask, The (1994)",0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5011356,32635,3039,4.0,1447790662,Trading Places (1983),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9326916,60695,3114,4.0,1449261264,Toy Story 2 (1999),0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15058565,97556,1288,4.0,940872618,This Is Spinal Tap (1984),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213608,1503,54286,3.0,1446932457,"Bourne Ultimatum, The (2007)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23609442,153232,2416,3.0,940324764,Back to School (1986),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17185787,111337,27773,1.0,1305571273,Old Boy (2003),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1755510,11695,2028,5.0,938973095,Saving Private Ryan (1998),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
21675301,140885,51662,2.5,1569343401,300 (2007),0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
11776741,76386,141,2.5,1141803787,"Birdcage, The (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11776559,76385,33794,3.5,1439421720,Batman Begins (2005),0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11779171,76395,500,3.0,857395126,Mrs. Doubtfire (1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24122806,156741,780,3.0,850406348,Independence Day (a.k.a. ID4) (1996),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4011480,26413,43744,3.5,1243627306,Imagine Me & You (2005),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15492466,100348,4508,3.0,998250948,Gorillas in the Mist (1988),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5445839,35300,5299,2.5,1447187025,My Big Fat Greek Wedding (2002),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19993003,130011,916,5.0,1092429998,Roman Holiday (1953),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
17188765,111359,2944,3.5,1216573811,"Dirty Dozen, The (1967)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16163415,104798,3825,1.0,976294524,Coyote Ugly (2000),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4700034,30732,7258,2.0,1153160301,"Perfect Score, The (2004)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23011637,149519,500,4.0,883086664,Mrs. Doubtfire (1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19978947,129898,5618,5.0,1559015435,Spirited Away (Sen to Chihiro no kamikakushi) (2001),0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19144787,124205,119145,3.5,1499455431,Kingsman: The Secret Service (2015),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2786756,18495,82459,3.0,1445947949,True Grit (2010),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19640429,127544,182479,3.5,1520392533,Mary and the Witch's Flower (2017),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7037110,45615,261,3.0,1028007535,Little Women (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12047603,78159,1378,2.0,1332025778,Young Guns (1988),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15238729,98726,2023,3.5,1557340383,"Godfather: Part III, The (1990)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
12708190,82198,83374,2.0,1388904670,"Warrior's Way, The (2010)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6422517,41649,805,4.0,1169568389,"Time to Kill, A (1996)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17801529,115398,230,4.0,1181530507,Dolores Claiborne (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9698220,62969,10,3.0,1078485005,GoldenEye (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14443742,93502,3328,4.5,1428203830,Ghost Dog: The Way of the Samurai (1999),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23066832,149873,810,2.0,1564265658,Kazaam (1996),0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21066836,136938,116797,4.5,1496630069,The Imitation Game (2014),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
11219234,72733,2428,3.5,1269814062,"Faculty, The (1998)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
614172,4206,2987,2.0,974688006,Who Framed Roger Rabbit? (1988),0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
4391094,28884,7147,5.0,1086919613,Big Fish (2003),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
15968097,103531,3798,4.0,994728553,What Lies Beneath (2000),0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
